



(g, q)= (1,5)
1.5.ad|{y^2=x^3+4*x+3}
1.5.a|{y^2=x^3+3,y^2=x^3+4}
1.5.d|{y^2=x^3+x+1}
1.5.ac|{y^2=x^3+x+2,y^2=x^3+x}
1.5.c|{y^2=x^3+4*x+4}
1.5.ab|{y^2=x^3+3*x+3}
1.5.b|{y^2=x^3+2*x+4}
1.5.ae|{y^2=x^3+2*x}


(g, q)= (1,7)
1.7.ad|{y^2=x^3+x+1}
1.7.ab|{y^2=x^3+5*x+5}
1.7.f|{y^2=x^3+3}
1.7.d|{y^2=x^3+2*x+6}
1.7.b|{y^2=x^3+3*x+2}
1.7.ae|{y^2=x^3+6*x+6}
1.7.ac|{y^2=x^3+3*x+3,y^2=x^3+x+3}
1.7.e|{y^2=x^3+5*x+1,y^2=x^3+1}
1.7.c|{y^2=x^3+4*x+4,y^2=x^3+6*x+4}
1.7.a|{y^2=x^3+3*x,y^2=x^3+x}


(g, q)= (1,11)
1.11.ac|{y^2=x^3+4*x+8,y^2=x^3+7*x+3}
1.11.e|{y^2=x^3+x+2,y^2=x^3+10*x+9}
1.11.ag|{y^2=x^3+9*x+7}
1.11.b|{y^2=x^3+5*x+10}
1.11.ad|{y^2=x^3+2*x+2,y^2=x^3+9*x+9}
1.11.f|{y^2=x^3+2*x+4}
1.11.c|{y^2=x^3+x+1,y^2=x^3+10*x+10}
1.11.ae|{y^2=x^3+3*x+3,y^2=x^3+8*x+8}
1.11.g|{y^2=x^3+5*x+5}
1.11.ab|{y^2=x^3+4*x+4}
1.11.d|{y^2=x^3+3*x+6,y^2=x^3+8*x+5}
1.11.af|{y^2=x^3+6*x+6}
1.11.a|{y^2=x^3+2,y^2=x^3+2*x,y^2=x^3+1,y^2=x^3+x}


(g, q)= (1,13)
1.13.f|{y^2=x^3+2,y^2=x^3+12*x+12}
1.13.d|{y^2=x^3+2*x+4}
1.13.b|{y^2=x^3+2*x+2,y^2=x^3+4*x+4}
1.13.af|{y^2=x^3+9*x+5}
1.13.ad|{y^2=x^3+7*x+7}
1.13.ab|{y^2=x^3+8*x+3,y^2=x^3+3*x+6}
1.13.g|{y^2=x^3+8*x+8,y^2=x^3+x}
1.13.e|{y^2=x^3+5*x+10,y^2=x^3+x+1}
1.13.c|{y^2=x^3+6*x+6,y^2=x^3+7*x+1,y^2=x^3+10*x+10}
1.13.ah|{y^2=x^3+7}
1.13.ag|{y^2=x^3+6*x+12,y^2=x^3+4*x}
1.13.a|{y^2=x^3+9*x+9,y^2=x^3+10*x+7}
1.13.ae|{y^2=x^3+11*x+11,y^2=x^3+4*x+8,y^2=x^3+2*x,y^2=x^3+5*x}
1.13.ac|{y^2=x^3+x+2,y^2=x^3+11*x+9,y^2=x^3+5*x+5,y^2=x^3+1}
1.13.h|{y^2=x^3+4}


(g, q)= (1,17)
1.17.f|{y^2=x^3+14*x+14}
1.17.ae|{y^2=x^3+16*x+16,y^2=x^3+12*x+12}
1.17.c|{y^2=x^3+11*x+11,y^2=x^3+13*x+5,y^2=x^3+12*x+2}
1.17.ab|{y^2=x^3+x+3}
1.17.g|{y^2=x^3+10*x+13,y^2=x^3+8*x+8,y^2=x^3+13*x+13}
1.17.af|{y^2=x^3+7*x+4}
1.17.d|{y^2=x^3+15*x+15,y^2=x^3+5*x+5,y^2=x^3+10*x+10}
1.17.ah|{y^2=x^3+2*x+6}
1.17.ac|{y^2=x^3+7*x+7,y^2=x^3+9*x+9,y^2=x^3+14*x+8,y^2=x^3+x}
1.17.h|{y^2=x^3+4*x+4}
1.17.a|{y^2=x^3+3,y^2=x^3+x+1,y^2=x^3+9*x+10,y^2=x^3+1}
1.17.ag|{y^2=x^3+15*x+11,y^2=x^3+3*x+3,y^2=x^3+4*x+12}
1.17.e|{y^2=x^3+6*x+1,y^2=x^3+8*x+7}
1.17.ad|{y^2=x^3+11*x+16,y^2=x^3+5*x+15,y^2=x^3+16*x+14}
1.17.i|{y^2=x^3+3*x}
1.17.b|{y^2=x^3+2*x+2}


(g, q)= (1,19)
1.19.b|{y^2=x^3+5*x+10,y^2=x^3+x+1}
1.19.ah|{y^2=x^3+2,y^2=x^3+8*x+8}
1.19.ac|{y^2=x^3+7*x+7,y^2=x^3+18*x+18,y^2=x^3+9*x+9}
1.19.f|{y^2=x^3+10*x+1,y^2=x^3+7*x+14}
1.19.ag|{y^2=x^3+14*x+14,y^2=x^3+16*x+13}
1.19.c|{y^2=x^3+15*x+11,y^2=x^3+17*x+15,y^2=x^3+9*x+18}
1.19.ai|{y^2=x^3+x+2,y^2=x^3+1}
1.19.g|{y^2=x^3+4*x+4,y^2=x^3+18*x+17}
1.19.ad|{y^2=x^3+13*x+13}
1.19.d|{y^2=x^3+14*x+9}
1.19.ae|{y^2=x^3+11*x+11,y^2=x^3+8*x+16,y^2=x^3+3*x+6,y^2=x^3+10*x+10}
1.19.h|{y^2=x^3+13*x+7}
1.19.a|{y^2=x^3+3*x+3,y^2=x^3+12*x+5,y^2=x^3+2*x,y^2=x^3+x}
1.19.e|{y^2=x^3+2*x+2,y^2=x^3+6*x+12,y^2=x^3+15*x+15,y^2=x^3+2*x+4}
1.19.ab|{y^2=x^3+6*x+6,y^2=x^3+4*x+8}
1.19.i|{y^2=x^3+5*x+5}
1.19.af|{y^2=x^3+16*x+16,y^2=x^3+12*x+12}


(g, q)= (1,23)
1.23.ad|{y^2=x^3+16*x+16,y^2=x^3+5*x+2,y^2=x^3+13*x+19}
1.23.j|{y^2=x^3+8*x+17}
1.23.c|{y^2=x^3+12*x+12,y^2=x^3+7*x+7}
1.23.g|{y^2=x^3+10*x+4,y^2=x^3+22*x+18,y^2=x^3+11*x+9,y^2=x^3+8*x+8}
1.23.aj|{y^2=x^3+4*x+4}
1.23.ae|{y^2=x^3+2*x+2,y^2=x^3+2*x+10,y^2=x^3+7*x+12,y^2=x^3+18*x+21}
1.23.d|{y^2=x^3+9*x+22,y^2=x^3+18*x+18,y^2=x^3+14*x+14}
1.23.ab|{y^2=x^3+15*x+6,y^2=x^3+20*x+20}
1.23.h|{y^2=x^3+20*x+8}
1.23.af|{y^2=x^3+3*x+15}
1.23.a|{y^2=x^3+6*x+6,y^2=x^3+5,y^2=x^3+1,y^2=x^3+x,y^2=x^3+12*x+14,y^2=x^3+5*x}
1.23.e|{y^2=x^3+15*x+15,y^2=x^3+x+1,y^2=x^3+9*x+9,y^2=x^3+4*x+20}
1.23.ah|{y^2=x^3+10*x+10}
1.23.ac|{y^2=x^3+x+5,y^2=x^3+14*x+1}
1.23.i|{y^2=x^3+19*x+3,y^2=x^3+6*x+7}
1.23.b|{y^2=x^3+19*x+19,y^2=x^3+17*x+16}
1.23.ag|{y^2=x^3+11*x+11,y^2=x^3+16*x+11,y^2=x^3+5*x+5,y^2=x^3+17*x+17}
1.23.f|{y^2=x^3+13*x+13}
1.23.ai|{y^2=x^3+21*x+21,y^2=x^3+3*x+3}


(g, q)= (1,25)
1.25.d|{y^2=x^3+a^23*x+a^23,y^2=x^3+a^19*x+a^19}
1.25.ai|{y^2=x^3+a*x,y^2=x^3+a^17*x+a^17,y^2=x^3+a^13*x+a^13}
1.25.j|{y^2=x^3+3*x+3}
1.25.ad|{y^2=x^3+a*x+a^2,y^2=x^3+a^21*x+a^22}
1.25.e|{y^2=x^3+3*x+a^19,y^2=x^3+a^10*x+a^11,y^2=x^3+a^14*x+a^14,y^2=x^3+a^22*x+a^22}
1.25.aj|{y^2=x^3+a^20*x+a^21}
1.25.k|{y^2=x^3+1}
