group|genus|g0_is_gt0|g0_gt0_list|gen_vectors|topological|braid
integer[]|smallint|boolean|integer[]|integer|integer|integer

{5,1}|2|f|\N|4|1|4
{8,3}|2|f|\N|1|1|1
{2,1}|2|f|\N|1|1|1
{12,5}|2|f|\N|6|1|6
{6,1}|2|f|\N|2|1|1
{4,1}|2|f|\N|1|1|1
{12,1}|2|f|\N|1|1|1
{24,3}|2|f|\N|1|1|1
{16,8}|2|f|\N|2|1|2
{48,29}|2|f|\N|2|1|2
{3,1}|2|f|\N|1|1|1
{24,8}|2|f|\N|2|1|2
{8,1}|2|f|\N|2|1|2
{12,4}|2|f|\N|1|1|1
{6,2}|2|f|\N|3|2|3
{4,2}|2|f|\N|3|1|3
{8,4}|2|f|\N|1|1|1
{10,2}|2|f|\N|4|1|4
{2,1}|2|t|{1}|1|\N|\N
{14,2}|3|f|\N|6|1|6
{12,1}|3|f|\N|2|1|2
{16,6}|3|f|\N|2|1|2
{12,2}|3|f|\N|6|2|6
{4,1}|3|f|\N|5|3|5
{6,1}|3|f|\N|9|1|1
{12,3}|3|f|\N|3|1|1
{48,33}|3|f|\N|4|1|4
{32,9}|3|f|\N|8|1|8
{7,1}|3|f|\N|8|2|8
{16,13}|3|f|\N|2|1|2
{8,5}|3|f|\N|28|1|28
{16,2}|3|f|\N|16|1|16
{16,11}|3|f|\N|8|1|8
{96,64}|3|f|\N|2|1|2
{3,1}|3|f|\N|2|1|2
{24,12}|3|f|\N|4|2|2
{12,4}|3|f|\N|2|1|2
{48,48}|3|f|\N|2|1|2
{24,13}|3|f|\N|1|1|1
{8,2}|3|f|\N|12|3|12
{48,3}|3|f|\N|4|1|4
{8,1}|3|f|\N|6|2|6
{4,2}|3|f|\N|7|2|7
{168,42}|3|f|\N|2|1|2
{8,3}|3|f|\N|6|2|3
{24,3}|3|f|\N|2|1|2
{32,11}|3|f|\N|4|1|4
{24,5}|3|f|\N|4|1|4
{9,1}|3|f|\N|6|1|6
{16,4}|3|f|\N|4|1|4
{21,1}|3|f|\N|2|1|2
{16,5}|3|f|\N|8|1|8
{2,1}|3|f|\N|1|1|1
{6,2}|3|f|\N|3|2|3
{2,1}|3|t|{1,2}|2|\N|\N
{3,1}|3|t|{1}|1|\N|\N
{4,1}|3|t|{1}|1|\N|\N
{4,2}|3|t|{1}|3|\N|\N
{6,1}|3|t|{1}|9|\N|\N
{8,3}|3|t|{1}|24|\N|\N
{8,4}|3|t|{1}|24|\N|\N
