# T01 legacy old->new Shimura-curve label map
# STATUS: PROVISIONAL - pending T27 reload. The `new_label` column
#   holds labels currently shipped in gps_shimura_test; these PREDATE
#   the T29 canonical sort (Q15.3) and WILL be reassigned on reload.
#   The durable key is (join_discB, join_discO, join_deg_mu,
#   join_level, join_al_subgroup); re-derive new_label after T27 via
#   the recipe in T01-report.md.  al_subgroup = the set of Hall
#   divisors m with w_m in H (== the legacy bracket, incl. 1).
# Generated by code/scripts/t01_build_map.py in worktree ticket/T01.
old_label,status,new_label,join_discB,join_discO,join_deg_mu,join_level,join_al_subgroup,join_al_gen_norms,join_genus,model_family,pt_genus,devmirror_genus,in_models,in_points,model_dup_count,notes
6.5-[1],MAPPED_PROVISIONAL,6.30.1.1.4.1.a.1,6,30,1,1,1,,1,model,,1,True,False,1,
6.7-[1],MAPPED_PROVISIONAL,6.42.1.1.4.1.a.1,6,42,1,1,1,,1,model,,1,True,False,1,
6.11-[1],MAPPED_PROVISIONAL,6.66.1.1.2.3.a.1,6,66,1,1,1,,3,model,3,3,True,True,1,
"6.11-[1,2]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,2",2,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2}"
"6.11-[1,3]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,3",3,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3}"
"6.11-[1,6]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,6",6,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6}"
"6.11-[1,11]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,11",11,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,11}"
"6.11-[1,22]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,22",22,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,22}"
"6.11-[1,33]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,33",33,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,33}"
"6.11-[1,66]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,66",66,0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,66}"
"6.11-[1,2,3,6]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,2,3,6","2,3,6",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,3,6}"
"6.11-[1,2,11,22]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,2,11,22","2,11,22",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,11,22}"
"6.11-[1,2,33,66]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,2,33,66","2,33,66",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,33,66}"
"6.11-[1,3,11,33]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,3,11,33","3,11,33",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,11,33}"
"6.11-[1,3,22,66]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,3,22,66","3,22,66",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3,22,66}"
"6.11-[1,6,11,66]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,6,11,66","6,11,66",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,11,66}"
"6.11-[1,6,22,33]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,6,22,33","6,22,33",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6,22,33}"
"6.11-[1,2,3,6,11,22,33,66]",UNMAPPED_PENDING_GENERATION,,6,66,1,1,"1,2,3,6,11,22,33,66","2,3,6,11,22,33,66",0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=66 not generated yet; base row exists (6.66.1.1.2.3.a.1); full Atkin-Lehner quotient X*(6;11); match future row by autmuO_norms generating the AL subgroup {1,2,3,6,11,22,33,66}"
6.13-[1],MAPPED_PROVISIONAL,6.78.1.1.4.1.a.1,6,78,1,1,1,,1,model,,1,True,False,1,
6.17-[1],MAPPED_PROVISIONAL,6.102.1.1.4.3.a.1,6,102,1,1,1,,3,model,3,3,True,True,1,
"6.17-[1,2]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,2",2,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2}"
"6.17-[1,3]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,3",3,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,3}"
"6.17-[1,6]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,6",6,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,6}"
"6.17-[1,17]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,17",17,2,model,2,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,17}"
"6.17-[1,34]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,34",34,0,model,0,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,34}"
"6.17-[1,51]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,51",51,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,51}"
"6.17-[1,102]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,102",102,1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,102}"
"6.17-[1,2,3,6]",UNMAPPED_PENDING_GENERATION,,6,102,1,1,"1,2,3,6","2,3,6",1,model,1,,True,True,1,"level-1 enhanced AL-quotient rows for discO=102 not generated yet; base row exists (6.102.1.1.4.3.a.1); match future row by autmuO_norms generating the AL subgroup {1,2,3,6}"
