# T02 gps_shimura_test.models count update -- PROVISIONAL, pending T27 reload.
# label = shipped coarse curve label (WILL be reassigned at T27; re-key by join key
# via T01-report sec 4). models = number of displayed shimcurve_models rows.
# Load AFTER T27 re-key (editor creds, ~/claude/lmfdb):
#   db.gps_shimura_test.update_from_file('load.txt', label_col='label', sep='|')
label|models
text|smallint

10.110.1.1.2.5.a.1|1
10.130.1.1.4.3.a.1|1
10.190.1.1.4.5.a.1|1
10.230.1.1.2.9.a.1|1
10.30.1.1.4.1.a.1|1
10.70.1.1.4.1.a.1|1
111.1.1.4.7.a.1|1
119.1.1.2.9.a.1|1
134.1.1.2.6.a.1|1
14.1.1.2.1.a.1|1
14.42.1.1.4.3.a.1|1
14.70.1.1.4.3.a.1|1
146.1.1.2.7.a.1|1
15.1.1.4.1.a.1|1
15.30.1.1.4.3.a.1|1
159.1.1.4.9.a.1|1
194.1.1.2.9.a.1|1
206.1.1.2.9.a.1|1
21.1.1.2.1.a.1|1
21.42.1.1.4.3.a.1|1
22.110.1.1.4.5.a.1|1
22.66.1.1.2.3.a.1|1
26.1.1.2.2.a.1|1
26.78.1.1.4.5.a.1|1
33.1.1.2.1.a.1|1
34.1.1.2.1.a.1|1
35.1.1.2.3.a.1|1
38.1.1.4.2.a.1|1
39.1.1.4.3.a.1|1
39.78.1.1.4.7.a.1|1
46.1.1.2.1.a.1|1
51.1.1.2.3.a.1|1
55.1.1.4.3.a.1|1
57.1.1.2.3.a.1|1
58.1.1.4.2.a.1|1
6.102.1.1.4.3.a.1|1
6.114.1.1.2.3.a.1|1
6.174.1.1.4.5.a.1|1
6.186.1.1.2.5.a.1|1
6.222.1.1.4.5.a.1|1
6.30.1.1.4.1.a.1|1
6.42.1.1.4.1.a.1|1
6.66.1.1.2.3.a.1|1
6.78.1.1.4.1.a.1|1
62.1.1.2.3.a.1|1
69.1.1.2.3.a.1|1
74.1.1.2.4.a.1|1
82.1.1.2.3.a.1|1
86.1.1.2.4.a.1|1
87.1.1.4.5.a.1|1
93.1.1.2.5.a.1|1
94.1.1.2.3.a.1|1
95.1.1.4.7.a.1|1
