"# PROVISIONAL re-key table for T02-shimcurve_models.txt; join key is durable, shimcurve label is not"
old_label,provisional_shimcurve,join_discB,join_discO,join_deg_mu,join_level,join_al_subgroup,model_type,genus
10.11-[1],10.110.1.1.2.5.a.1,10,110,1,1,1,5,5
10.13-[1],10.130.1.1.4.3.a.1,10,130,1,1,1,8,3
10.19-[1],10.190.1.1.4.5.a.1,10,190,1,1,1,8,5
10.23-[1],10.230.1.1.2.9.a.1,10,230,1,1,1,5,9
10.3-[1],10.30.1.1.4.1.a.1,10,30,1,1,1,8,1
10.7-[1],10.70.1.1.4.1.a.1,10,70,1,1,1,8,1
111.1-[1],111.1.1.4.7.a.1,111,111,1,1,1,5,7
119.1-[1],119.1.1.2.9.a.1,119,119,1,1,1,5,9
134.1-[1],134.1.1.2.6.a.1,134,134,1,1,1,5,6
14.1-[1],14.1.1.2.1.a.1,14,14,1,1,1,8,1
14.3-[1],14.42.1.1.4.3.a.1,14,42,1,1,1,8,3
14.5-[1],14.70.1.1.4.3.a.1,14,70,1,1,1,5,3
146.1-[1],146.1.1.2.7.a.1,146,146,1,1,1,5,7
15.1-[1],15.1.1.4.1.a.1,15,15,1,1,1,8,1
15.2-[1],15.30.1.1.4.3.a.1,15,30,1,1,1,5,3
159.1-[1],159.1.1.4.9.a.1,159,159,1,1,1,5,9
194.1-[1],194.1.1.2.9.a.1,194,194,1,1,1,5,9
206.1-[1],206.1.1.2.9.a.1,206,206,1,1,1,5,9
21.1-[1],21.1.1.2.1.a.1,21,21,1,1,1,8,1
21.2-[1],21.42.1.1.4.3.a.1,21,42,1,1,1,8,3
22.5-[1],22.110.1.1.4.5.a.1,22,110,1,1,1,5,5
22.3-[1],22.66.1.1.2.3.a.1,22,66,1,1,1,5,3
26.1-[1],26.1.1.2.2.a.1,26,26,1,1,1,5,2
26.3-[1],26.78.1.1.4.5.a.1,26,78,1,1,1,8,5
33.1-[1],33.1.1.2.1.a.1,33,33,1,1,1,8,1
34.1-[1],34.1.1.2.1.a.1,34,34,1,1,1,8,1
35.1-[1],35.1.1.2.3.a.1,35,35,1,1,1,5,3
38.1-[1],38.1.1.4.2.a.1,38,38,1,1,1,5,2
39.1-[1],39.1.1.4.3.a.1,39,39,1,1,1,5,3
39.2-[1],39.78.1.1.4.7.a.1,39,78,1,1,1,5,7
46.1-[1],46.1.1.2.1.a.1,46,46,1,1,1,8,1
51.1-[1],51.1.1.2.3.a.1,51,51,1,1,1,5,3
55.1-[1],55.1.1.4.3.a.1,55,55,1,1,1,5,3
57.1-[1],57.1.1.2.3.a.1,57,57,1,1,1,8,3
58.1-[1],58.1.1.4.2.a.1,58,58,1,1,1,5,2
6.17-[1],6.102.1.1.4.3.a.1,6,102,1,1,1,8,3
6.19-[1],6.114.1.1.2.3.a.1,6,114,1,1,1,5,3
6.29-[1],6.174.1.1.4.5.a.1,6,174,1,1,1,5,5
6.31-[1],6.186.1.1.2.5.a.1,6,186,1,1,1,5,5
6.37-[1],6.222.1.1.4.5.a.1,6,222,1,1,1,5,5
6.5-[1],6.30.1.1.4.1.a.1,6,30,1,1,1,8,1
6.7-[1],6.42.1.1.4.1.a.1,6,42,1,1,1,8,1
6.11-[1],6.66.1.1.2.3.a.1,6,66,1,1,1,5,3
6.13-[1],6.78.1.1.4.1.a.1,6,78,1,1,1,8,1
62.1-[1],62.1.1.2.3.a.1,62,62,1,1,1,5,3
69.1-[1],69.1.1.2.3.a.1,69,69,1,1,1,5,3
74.1-[1],74.1.1.2.4.a.1,74,74,1,1,1,5,4
82.1-[1],82.1.1.2.3.a.1,82,82,1,1,1,8,3
86.1-[1],86.1.1.2.4.a.1,86,86,1,1,1,5,4
87.1-[1],87.1.1.4.5.a.1,87,87,1,1,1,5,5
93.1-[1],93.1.1.2.5.a.1,93,93,1,1,1,8,5
94.1-[1],94.1.1.2.3.a.1,94,94,1,1,1,5,3
95.1-[1],95.1.1.4.7.a.1,95,95,1,1,1,5,7
