# ==========================================================================
# T02  shimcurve_models  STAGED UPLOAD  --  PROVISIONAL, pending T27 reload
# --------------------------------------------------------------------------
# The 'shimcurve' FK below is the CURRENTLY-SHIPPED gps_shimura_test coarse
# label (mu_label.coarse_label).  These PREDATE the T29 canonical sort and
# WILL be reassigned on the T27 reload -- do NOT load against the current DB.
# Re-key each row from T02-shimcurve_models-keys.csv via T01-report.md sec 4.
# To produce the loadable file after re-keying:  grep -v '^#' <this> > load.txt
# then (editor creds, from ~/claude/lmfdb):
#   db.shimcurve_models.copy_from('load.txt', sep='|')
# Columns are shimcurve_models.search_cols (alphabetical); id auto-assigned.
# ==========================================================================
dont_display|equation|model_type|number_variables|shimcurve|smooth
boolean|text[]|smallint|smallint|text|boolean

f|{"8x^12 + 35x^10z^2 - 30x^8z^4 - 277x^6z^6 - 120x^4z^8 + 560x^2z^10 + y^2 + 512z^12"}|5|3|10.110.1.1.2.5.a.1|t
f|{"5x^4 - 74x^2 - y^2 + 325","-2x^2 - z^2 - 25"}|8|3|10.130.1.1.4.3.a.1|t
f|{"-8x^6 + 57x^4 - 40x^2 - y^2 + 16","5x^2 - z^2 - 32"}|8|3|10.190.1.1.4.5.a.1|t
f|{"43x^20 - 318x^19z + 1071x^18z^2 - 3014x^17z^3 + 10540x^16z^4 - 28266x^15z^5 + 72217x^14z^6 - 81478x^13z^7 + 62765x^12z^8 + 68732x^11z^9 - 18840x^10z^10 - 68732x^9z^11 + 62765x^8z^12 + 81478x^7z^13 + 72217x^6z^14 + 28266x^5z^15 + 10540x^4z^16 + 3014x^3z^17 + 1071x^2z^18 + 318x*z^19 + y^2 + 43z^20"}|5|3|10.230.1.1.2.9.a.1|t
f|{"y^2 - (-2x^4 - 11x^2 -32)"}|8|2|10.30.1.1.4.1.a.1|t
f|{"y^2 - (-27x^4 - 40x^3 +6x^2 +40x - 27)"}|8|2|10.70.1.1.4.1.a.1|t
f|{"19x^16 - 44x^15z - 16x^14z^2 - 2x^13z^3 + 150x^12z^4 + 94x^11z^5 - 297x^10z^6 - 170x^9z^7 + 331x^8z^8 + 170x^7z^9 - 297x^6z^10 - 94x^5z^11 + 150x^4z^12 + 2x^3z^13 - 16x^2z^14 + 44x*z^15 + y^2 + 19z^16"}|5|3|111.1.1.4.7.a.1|t
f|{"7x^20 - 150x^18z^2 + 427x^16z^4 + 3192x^14z^6 - 10114x^12z^8 + 255164x^10z^10 + 1307614x^8z^12 + 2945912x^6z^14 + 3649275x^4z^16 + 2559466x^2z^18 + y^2 + 823543z^20"}|5|3|119.1.1.2.9.a.1|t
f|{"19x^14 + 8x^13z - 178x^12z^2 + 138x^11z^3 + 625x^10z^4 - 940x^9z^5 - 383x^8z^6 + 1486x^7z^7 - 383x^6z^8 - 940x^5z^9 + 625x^4z^10 + 138x^3z^11 - 178x^2z^12 + 8x*z^13 + y^2 + 19z^14"}|5|3|134.1.1.2.6.a.1|t
f|{"y^2 - (-x^4 + 13x^2 - 128)"}|8|2|14.1.1.2.1.a.1|t
f|{"-9x^2 - z^2 - 2","-7x^4 + 22x^2 - y^2 + 1"}|8|3|14.42.1.1.4.3.a.1|t
f|{"23x^8 + 180x^7z + 358x^6z^2 + 168x^5z^3 + 677x^4z^4 - 168x^3z^5 + 358x^2z^6 - 180x*z^7 + y^2 + 23z^8"}|5|3|14.70.1.1.4.3.a.1|t
