# T03 PARKED gps point-count updates -- PROVISIONAL, pending T27 reload + target-row generation.
# Per-curve num_known_degree1_points / pointless for UNMAPPED AL-quotient curves.
# coords_na=t: the count is known but the source stored coordinates as 'NA' (no point rows).
old_label|park_reason|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|num_known_degree1_points|num_known_degree1_noncm_points|pointless|coords_na
10.11-[1,10,11,110]|PENDING_GENERATION|10|110|1|1|1,10,11,110|0|\N|\N|f|f
10.11-[1,10,22,55]|PENDING_GENERATION|10|110|1|1|1,10,22,55|1|3|\N|f|f
10.11-[1,10]|PENDING_GENERATION|10|110|1|1|1,10|2|0|0|\N|f
10.11-[1,110]|PENDING_GENERATION|10|110|1|1|1,110|0|\N|\N|f|f
10.11-[1,11]|PENDING_GENERATION|10|110|1|1|1,11|3|0|0|\N|f
10.11-[1,2,11,22]|PENDING_GENERATION|10|110|1|1|1,2,11,22|1|1|\N|f|f
10.11-[1,2,5,10,11,22,55,110]|PENDING_GENERATION|10|110|1|1|1,2,5,10,11,22,55,110|0|\N|\N|f|f
10.11-[1,2,5,10]|PENDING_GENERATION|10|110|1|1|1,2,5,10|1|1|\N|f|f
10.11-[1,2,55,110]|PENDING_GENERATION|10|110|1|1|1,2,55,110|0|\N|\N|f|f
10.11-[1,22]|PENDING_GENERATION|10|110|1|1|1,22|2|0|0|\N|f
10.11-[1,2]|PENDING_GENERATION|10|110|1|1|1,2|2|0|0|\N|f
10.11-[1,5,11,55]|PENDING_GENERATION|10|110|1|1|1,5,11,55|2|3|\N|f|f
10.11-[1,5,22,110]|PENDING_GENERATION|10|110|1|1|1,5,22,110|0|\N|\N|f|f
10.11-[1,55]|PENDING_GENERATION|10|110|1|1|1,55|3|2|\N|f|f
10.11-[1,5]|PENDING_GENERATION|10|110|1|1|1,5|3|0|0|\N|f
10.13-[1,10,13,130]|PENDING_GENERATION|10|130|1|1|1,10,13,130|0|\N|\N|f|f
10.13-[1,10,26,65]|PENDING_GENERATION|10|130|1|1|1,10,26,65|0|\N|\N|f|f
10.13-[1,10]|PENDING_GENERATION|10|130|1|1|1,10|1|0|0|\N|f
10.13-[1,130]|PENDING_GENERATION|10|130|1|1|1,130|1|2|\N|f|t
10.13-[1,13]|PENDING_GENERATION|10|130|1|1|1,13|1|0|0|\N|f
10.13-[1,2,13,26]|PENDING_GENERATION|10|130|1|1|1,2,13,26|1|4|\N|f|f
10.13-[1,2,5,10,13,26,65,130]|PENDING_GENERATION|10|130|1|1|1,2,5,10,13,26,65,130|0|\N|\N|f|f
10.13-[1,2,5,10]|PENDING_GENERATION|10|130|1|1|1,2,5,10|1|2|\N|f|f
10.13-[1,2,65,130]|PENDING_GENERATION|10|130|1|1|1,2,65,130|0|\N|\N|f|f
10.13-[1,26]|PENDING_GENERATION|10|130|1|1|1,26|2|0|0|\N|f
10.13-[1,2]|PENDING_GENERATION|10|130|1|1|1,2|2|0|0|\N|f
10.13-[1,5,13,65]|PENDING_GENERATION|10|130|1|1|1,5,13,65|0|\N|\N|f|f
10.13-[1,5,26,130]|PENDING_GENERATION|10|130|1|1|1,5,26,130|1|2|\N|f|t
10.13-[1,5]|PENDING_GENERATION|10|130|1|1|1,5|2|0|0|\N|f
10.13-[1,65]|PENDING_GENERATION|10|130|1|1|1,65|0|0|0|\N|f
10.19-[1,10,19,190]|PENDING_GENERATION|10|190|1|1|1,10,19,190|1|2|\N|f|t
10.19-[1,10,38,95]|PENDING_GENERATION|10|190|1|1|1,10,38,95|0|\N|\N|f|f
10.19-[1,10]|PENDING_GENERATION|10|190|1|1|1,10|2|0|0|\N|f
10.19-[1,190]|PENDING_GENERATION|10|190|1|1|1,190|2|0|0|\N|f
10.19-[1,19]|PENDING_GENERATION|10|190|1|1|1,19|3|0|0|\N|f
10.19-[1,2,19,38]|PENDING_GENERATION|10|190|1|1|1,2,19,38|0|\N|\N|f|f
10.19-[1,2,5,10,19,38,95,190]|PENDING_GENERATION|10|190|1|1|1,2,5,10,19,38,95,190|0|\N|\N|f|f
10.19-[1,2,5,10]|PENDING_GENERATION|10|190|1|1|1,2,5,10|1|1|\N|f|f
10.19-[1,2,95,190]|PENDING_GENERATION|10|190|1|1|1,2,95,190|1|2|\N|f|t
10.19-[1,2]|PENDING_GENERATION|10|190|1|1|1,2|2|0|0|\N|f
