# T03 gps_shimura_test point-count update -- PROVISIONAL, pending T27 reload.
# label = shipped coarse curve label (reassigned at T27; re-key by join key).
# Only MAPPED [1]-base curves (all with 0 known rational points).
# pointless left \N (Shimura's D>1 theorem -> pointless=t is a Q9/T15 call, not a search).
# Load AFTER T27 re-key:  db.gps_shimura.update_from_file('load.txt', label_col='label', sep='|')
label|num_known_degree1_points|num_known_degree1_noncm_points|pointless
text|integer|integer|boolean

10.110.1.1.2.5.a.1|0|0|\N
10.130.1.1.4.3.a.1|0|0|\N
10.190.1.1.4.5.a.1|0|0|\N
10.230.1.1.2.9.a.1|0|0|\N
111.1.1.4.7.a.1|0|0|\N
119.1.1.2.9.a.1|0|0|\N
134.1.1.2.6.a.1|0|0|\N
14.42.1.1.4.3.a.1|0|0|\N
14.70.1.1.4.3.a.1|0|0|\N
146.1.1.2.7.a.1|0|0|\N
15.30.1.1.4.3.a.1|0|0|\N
159.1.1.4.9.a.1|0|0|\N
194.1.1.2.9.a.1|0|0|\N
206.1.1.2.9.a.1|0|0|\N
21.42.1.1.4.3.a.1|0|0|\N
22.110.1.1.4.5.a.1|0|0|\N
22.66.1.1.2.3.a.1|0|0|\N
26.1.1.2.2.a.1|0|0|\N
26.78.1.1.4.5.a.1|0|0|\N
35.1.1.2.3.a.1|0|0|\N
38.1.1.4.2.a.1|0|0|\N
39.1.1.4.3.a.1|0|0|\N
39.78.1.1.4.7.a.1|0|0|\N
51.1.1.2.3.a.1|0|0|\N
55.1.1.4.3.a.1|0|0|\N
57.1.1.2.3.a.1|0|0|\N
58.1.1.4.2.a.1|0|0|\N
6.102.1.1.4.3.a.1|0|0|\N
6.114.1.1.2.3.a.1|0|0|\N
6.174.1.1.4.5.a.1|0|0|\N
6.186.1.1.2.5.a.1|0|0|\N
6.222.1.1.4.5.a.1|0|0|\N
6.66.1.1.2.3.a.1|0|0|\N
62.1.1.2.3.a.1|0|0|\N
69.1.1.2.3.a.1|0|0|\N
74.1.1.2.4.a.1|0|0|\N
82.1.1.2.3.a.1|0|0|\N
86.1.1.2.4.a.1|0|0|\N
87.1.1.4.5.a.1|0|0|\N
93.1.1.2.5.a.1|0|0|\N
94.1.1.2.3.a.1|0|0|\N
95.1.1.4.7.a.1|0|0|\N
