# T03 PARKED per-point records -- PROVISIONAL, pending T27 reload + target-row generation.
# One row per known degree-1 rational point on an UNMAPPED AL-quotient curve.
# When the curve row exists, set curve_label from the join key and copy_from the
# shimcurve_points columns (degree=1, residue_field=1.1.1.1, coordinates as given).
# coordinates jsonb = {"<model_type>":["a:b:c"]}; model_type = T02 model whose
# number_variables == coordinate arity.
old_label|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|arity|model_type|degree|residue_field|coordinates
10.11-[1,10,22,55]|10|110|1|1|1,10,22,55|1|3|5|1|1.1.1.1|{"5":["4:-8:1"]}
10.11-[1,10,22,55]|10|110|1|1|1,10,22,55|1|3|5|1|1.1.1.1|{"5":["4:3:1"]}
10.11-[1,10,22,55]|10|110|1|1|1,10,22,55|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
10.11-[1,2,11,22]|10|110|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
10.11-[1,2,5,10]|10|110|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
10.11-[1,5,11,55]|10|110|1|1|1,5,11,55|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
10.11-[1,5,11,55]|10|110|1|1|1,5,11,55|2|3|5|1|1.1.1.1|{"5":["8:-36:1"]}
10.11-[1,5,11,55]|10|110|1|1|1,5,11,55|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
10.11-[1,55]|10|110|1|1|1,55|3|3|5|1|1.1.1.1|{"5":["-1:1:1"]}
10.11-[1,55]|10|110|1|1|1,55|3|3|5|1|1.1.1.1|{"5":["1:0:0"]}
10.13-[1,2,13,26]|10|130|1|1|1,2,13,26|1|3|5|1|1.1.1.1|{"5":["43/4:-47/8:1"]}
10.13-[1,2,13,26]|10|130|1|1|1,2,13,26|1|3|5|1|1.1.1.1|{"5":["27:-144:1"]}
10.13-[1,2,13,26]|10|130|1|1|1,2,13,26|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
10.13-[1,2,13,26]|10|130|1|1|1,2,13,26|1|3|5|1|1.1.1.1|{"5":["27:116:1"]}
10.13-[1,2,5,10]|10|130|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["131/4:-135/8:1"]}
10.13-[1,2,5,10]|10|130|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
10.19-[1,2,5,10]|10|190|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
10.19-[1,5,19,95]|10|190|1|1|1,5,19,95|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
10.19-[1,5,19,95]|10|190|1|1|1,5,19,95|2|3|5|1|1.1.1.1|{"5":["1:-1:1"]}
10.19-[1,5,19,95]|10|190|1|1|1,5,19,95|2|3|5|1|1.1.1.1|{"5":["3:-132:8"]}
10.19-[1,95]|10|190|1|1|1,95|3|3|5|1|1.1.1.1|{"5":["1:0:0"]}
10.19-[1,95]|10|190|1|1|1,95|3|3|5|1|1.1.1.1|{"5":["1:-1:0"]}
10.23-[1,10,46,115]|10|230|1|1|1,10,46,115|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
10.23-[1,2,5,10]|10|230|1|1|1,2,5,10|2|3|5|1|1.1.1.1|{"5":["3:0:1"]}
10.23-[1,5,23,115]|10|230|1|1|1,5,23,115|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
14.3-[1,2,3,6]|14|42|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-77/4:73/8:1"]}
14.3-[1,2,3,6]|14|42|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.3-[1,21]|14|42|1|1|1,21|1|4|8|1|1.1.1.1|{"8":["-49/36:7/4:-9/4:1"]}
14.3-[1,21]|14|42|1|1|1,21|1|4|8|1|1.1.1.1|{"8":["7/9:0:0:1"]}
14.3-[1,21]|14|42|1|1|1,21|1|4|8|1|1.1.1.1|{"8":["49/36:7/4:9/4:1"]}
14.3-[1,21]|14|42|1|1|1,21|1|4|8|1|1.1.1.1|{"8":["49/36:-7/4:9/4:1"]}
14.3-[1,21]|14|42|1|1|1,21|1|4|8|1|1.1.1.1|{"8":["-7/9:0:0:1"]}
14.3-[1,21]|14|42|1|1|1,21|1|4|8|1|1.1.1.1|{"8":["-49/36:-7/4:-9/4:1"]}
14.3-[1,3,7,21]|14|42|1|1|1,3,7,21|1|3|5|1|1.1.1.1|{"5":["10:19:1"]}
14.3-[1,3,7,21]|14|42|1|1|1,3,7,21|1|3|5|1|1.1.1.1|{"5":["10:-30:1"]}
14.3-[1,3,7,21]|14|42|1|1|1,3,7,21|1|3|5|1|1.1.1.1|{"5":["-4:5:1"]}
14.3-[1,3,7,21]|14|42|1|1|1,3,7,21|1|3|5|1|1.1.1.1|{"5":["-9/4:5/8:1"]}
14.3-[1,3,7,21]|14|42|1|1|1,3,7,21|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.3-[1,3,7,21]|14|42|1|1|1,3,7,21|1|3|5|1|1.1.1.1|{"5":["-4:-2:1"]}
14.3-[1,42]|14|42|1|1|1,42|1|4|8|1|1.1.1.1|{"8":["-7/36:-7/4:-63/4:1"]}
14.3-[1,42]|14|42|1|1|1,42|1|4|8|1|1.1.1.1|{"8":["7/36:7/4:63/4:1"]}
14.3-[1,42]|14|42|1|1|1,42|1|4|8|1|1.1.1.1|{"8":["7/9:0:0:1"]}
14.3-[1,42]|14|42|1|1|1,42|1|4|8|1|1.1.1.1|{"8":["7/36:-7/4:63/4:1"]}
14.3-[1,42]|14|42|1|1|1,42|1|4|8|1|1.1.1.1|{"8":["-7/9:0:0:1"]}
14.3-[1,42]|14|42|1|1|1,42|1|4|8|1|1.1.1.1|{"8":["-7/36:7/4:-63/4:1"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["2:-1:1"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["2:-2:1"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["0:-4:1"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["0:3:1"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.3-[1,6,7,42]|14|42|1|1|1,6,7,42|1|3|5|1|1.1.1.1|{"5":["7/4:-11/8:1"]}
14.5-[1,2,5,10]|14|70|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-37/4:33/8:1"]}
14.5-[1,2,5,10]|14|70|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.5-[1,35]|14|70|1|1|1,35|1|4|8|1|1.1.1.1|{"8":["-1/196:-1/28:-1/4:1"]}
14.5-[1,35]|14|70|1|1|1,35|1|4|8|1|1.1.1.1|{"8":["1/196:1/28:1/4:1"]}
14.5-[1,5,7,35]|14|70|1|1|1,5,7,35|1|3|5|1|1.1.1.1|{"5":["-121/4:117/8:1"]}
14.5-[1,5,7,35]|14|70|1|1|1,5,7,35|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["2:-1:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["2:-2:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["0:-4:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["0:3:1"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
14.5-[1,7,10,70]|14|70|1|1|1,7,10,70|1|3|5|1|1.1.1.1|{"5":["7/4:-11/8:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["-12496225/103388224:3535/40672:-1/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["-986049/6461764:993/2542:-1:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["190969/103388224:-1311/40672:9/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["-190969/103388224:1311/40672:-9/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["12496225/103388224:-3535/40672:1/16:1"]}
14.5-[1,70]|14|70|1|1|1,70|1|4|8|1|1.1.1.1|{"8":["986049/6461764:-993/2542:1:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["21:-11:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-11:5:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-41/4:37/8:1"]}
15.2-[1,2,3,6]|15|30|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-2:3:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["8:-27:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-13/4:9/8:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["8:18:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["-2:-2:1"]}
15.2-[1,2,5,10]|15|30|1|1|1,2,5,10|1|3|5|1|1.1.1.1|{"5":["3:-2:1"]}
