label|deg_mu|level|index|genus|coarse_class|coarse_num|autmuO_norms|is_coarse|scalar_label
text|integer|integer|integer|integer|text|integer|integer[]|boolean|text

6.1.1.1.0.a.1|1|1|1|0|a|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.1.2.0.a.1|1|1|2|0|a|1|{3,1,1,1,1,1}|T|1.1.1
6.1.1.2.0.b.1|1|1|2|0|b|1|{6,1,1,1,1,1}|T|1.1.1
6.1.1.2.0.c.1|1|1|2|0|c|1|{2,1,1,1,1,1}|T|1.1.1
6.1.1.4.0.a.1|1|1|4|0|a|1|{1,1,1,1,1}|T|1.1.1
6.1.2.3.0.a.1|1|2|3|0|a|1|{2,6,1,1,1,1,1,1,1}|T|1.1.1
6.1.2.4.0.a.1|1|2|4|0|a|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.0.a.1|1|2|6|0|a|1|{6,1,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.0.b.1|1|2|6|0|b|1|{3,1,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.0.c.1|1|2|6|0|c|1|{2,1,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.0.d.1|1|2|6|0|d|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.0.e.1|1|2|6|0|e|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.0.f.1|1|2|6|0|f|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.2.6.1.a.1|1|2|6|1|a|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.2.8.0.a.1|1|2|8|0|a|1|{6,1,1,1,1,1,1}|T|1.1.1
6.1.2.8.0.b.1|1|2|8|0|b|1|{3,1,1,1,1,1,1}|T|1.1.1
6.1.2.8.1.a.1|1|2|8|1|a|1|{2,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.0.a.1|1|2|12|0|a|1|{1,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.0.b.1|1|2|12|0|b|1|{6,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.0.c.1|1|2|12|0|c|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.2.12.0.d.1|1|2|12|0|d|1|{2,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.0.e.1|1|2|12|0|e|1|{3,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.1.a.1|1|2|12|1|a|1|{6,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.1.b.1|1|2|12|1|b|1|{3,1,1,1,1,1,1}|T|1.1.1
6.1.2.12.1.c.1|1|2|12|1|c|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.2.12.1.d.1|1|2|12|1|d|1|{2,1,1,1,1,1,1}|T|1.1.1
6.1.2.16.1.a.1|1|2|16|1|a|1|{1,1,1,1,1,1}|T|1.1.1
6.1.2.24.0.a.1|1|2|24|0|a|1|{3,1,1,1,1,1}|T|1.1.1
6.1.2.24.1.a.1|1|2|24|1|a|1|{6,1,1,1,1,1}|T|1.1.1
6.1.2.24.1.b.1|1|2|24|1|b|1|{1,1,1,1,1,1}|T|1.1.1
6.1.2.24.2.a.1|1|2|24|2|a|1|{3,1,1,1,1,1}|T|1.1.1
6.1.2.24.2.b.1|1|2|24|2|b|1|{2,1,1,1,1,1}|T|1.1.1
6.1.2.48.3.a.1|1|2|48|3|a|1|{1,1,1,1,1}|T|1.1.1
6.1.3.2.0.a.1|1|3|2|0|a|1|{2,6,1,1,1,1}|T|1.1.1
6.1.3.2.0.b.1|1|3|2|0|b|1|{2,6,1,1,1,1}|T|1.1.1
6.1.3.2.0.c.1|1|3|2|0|c|1|{2,6,1,1,1,1}|T|1.1.1
6.1.3.4.0.a.1|1|3|4|0|a|1|{2,1,1,1,1}|T|1.1.1
6.1.3.4.0.b.1|1|3|4|0|b|1|{3,1,1,1,1}|T|1.1.1
6.1.3.4.0.c.1|1|3|4|0|c|1|{6,1,1,1,1}|T|1.1.1
6.1.3.4.0.d.1|1|3|4|0|d|1|{2,6,1,1,1}|T|1.1.1
6.1.3.4.0.e.1|1|3|4|0|e|1|{2,6,1,1,1}|T|1.1.1
6.1.3.6.0.a.1|1|3|6|0|a|1|{2,6,1,1,1}|T|1.1.1
6.1.3.8.0.a.1|1|3|8|0|a|1|{3,1,1,1}|T|1.1.1
6.1.3.8.0.b.1|1|3|8|0|b|1|{6,1,1,1}|T|1.1.1
6.1.3.9.0.a.1|1|3|9|0|a|1|{2,6,1,1,1}|T|1.1.1
6.1.3.12.0.a.1|1|3|12|0|a|1|{3,1,1,1}|T|1.1.1
6.1.3.12.0.b.1|1|3|12|0|b|1|{6,1,1,1}|T|1.1.1
6.1.3.12.0.c.1|1|3|12|0|c|1|{2,6,1,1}|T|1.1.1
6.1.3.12.0.d.1|1|3|12|0|d|1|{2,6,1,1}|T|1.1.1
6.1.3.12.0.e.1|1|3|12|0|e|1|{2,6,1,1}|T|1.1.1
6.1.3.12.0.f.1|1|3|12|0|f|1|{2,6,1,1}|T|1.1.1
6.1.3.18.0.a.1|1|3|18|0|a|1|{2,6,1,1}|T|1.1.1
6.1.3.18.0.b.1|1|3|18|0|b|1|{6,1,1,1}|T|1.1.1
6.1.3.18.1.a.1|1|3|18|1|a|1|{2,6,1,1}|T|1.1.1
6.1.3.18.1.b.1|1|3|18|1|b|1|{3,1,1,1}|T|1.1.1
6.1.3.18.1.c.1|1|3|18|1|c|1|{2,6,1,1}|T|1.1.1
6.1.3.18.1.d.1|1|3|18|1|d|1|{2,1,1,1}|T|1.1.1
6.1.3.24.0.a.1|1|3|24|0|a|1|{3,1,1}|T|1.1.1
6.1.3.24.0.b.1|1|3|24|0|b|1|{6,1,1}|T|1.1.1
6.1.3.24.0.c.1|1|3|24|0|c|1|{3,1,1}|T|1.1.1
6.1.3.24.0.d.1|1|3|24|0|d|1|{6,1,1}|T|1.1.1
6.1.3.36.1.a.1|1|3|36|1|a|1|{3,1,1}|T|1.1.1
6.1.3.36.1.b.1|1|3|36|1|b|1|{2,1,1}|T|1.1.1
6.1.3.36.2.a.1|1|3|36|2|a|1|{6,1,1}|T|1.1.1
6.1.3.36.2.b.1|1|3|36|2|b|1|{1,1,1}|T|1.1.1
6.1.3.36.2.c.1|1|3|36|2|c|1|{2,6,1}|T|1.1.1
6.1.3.36.2.d.1|1|3|36|2|d|1|{2,6,1}|T|1.1.1
6.1.3.72.2.a.1|1|3|72|2|a|1|{3,1}|T|1.1.1
6.1.3.72.4.a.1|1|3|72|4|a|1|{6,1}|T|1.1.1
6.1.4.2.0.a.1|1|4|2|0|a|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.4.2.0.b.1|1|4|2|0|b|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.4.2.0.c.1|1|4|2|0|c|1|{2,6,1,1,1,1,1,1}|T|1.1.1
6.1.4.4.0.a.1|1|4|4|0|a|1|{2,1,1,1,1,1,1}|T|1.1.1
6.1.4.4.0.b.1|1|4|4|0|b|1|{6,1,1,1,1,1,1}|T|1.1.1
6.1.4.4.0.c.1|1|4|4|0|c|1|{3,1,1,1,1,1,1}|T|1.1.1
6.1.4.6.0.a.1|1|4|6|0|a|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.6.0.b.1|1|4|6|0|b|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.6.0.c.1|1|4|6|0|c|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.6.0.d.1|1|4|6|0|d|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.6.0.e.1|1|4|6|0|e|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.6.0.f.1|1|4|6|0|f|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.6.1.a.1|1|4|6|1|a|1|{2,6,1,1,1,1,1}|T|1.1.1
6.1.4.8.0.a.1|1|4|8|0|a|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.8.0.b.1|1|4|8|0|b|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.8.0.c.1|1|4|8|0|c|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.8.1.a.1|1|4|8|1|a|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.a.1|1|4|12|0|a|1|{2,1,1,1,1,1}|T|1.1.1
6.1.4.12.0.b.1|1|4|12|0|b|1|{6,1,1,1,1,1}|T|1.1.1
6.1.4.12.0.c.1|1|4|12|0|c|1|{3,1,1,1,1,1}|T|1.1.1
6.1.4.12.0.d.1|1|4|12|0|d|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.e.1|1|4|12|0|e|1|{2,1,1,1,1,1}|T|1.1.1
6.1.4.12.0.f.1|1|4|12|0|f|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.g.1|1|4|12|0|g|1|{6,1,1,1,1,1}|T|1.1.1
6.1.4.12.0.h.1|1|4|12|0|h|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.i.1|1|4|12|0|i|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.j.1|1|4|12|0|j|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.k.1|1|4|12|0|k|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.l.1|1|4|12|0|l|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.m.1|1|4|12|0|m|1|{2,6,1,1,1,1}|T|1.1.1
6.1.4.12.0.n.1|1|4|12|0|n|1|{2,6,1,1,1,1}|T|1.1.1
