label,discB,discO,deg_mu,level,index,genus
6.30.1.1.4.1.a.1,6,30,1,1,4,1
6.42.1.1.4.1.a.1,6,42,1,1,4,1
6.66.1.1.2.3.a.1,6,66,1,1,2,3
6.78.1.1.4.1.a.1,6,78,1,1,4,1
6.102.1.1.4.3.a.1,6,102,1,1,4,3
6.114.1.1.2.3.a.1,6,114,1,1,2,3
6.138.1.1.4.5.a.1,6,138,1,1,4,5
6.174.1.1.4.5.a.1,6,174,1,1,4,5
6.186.1.1.2.5.a.1,6,186,1,1,2,5
6.210.1.1.4.9.a.1,6,210,1,1,4,9
6.222.1.1.4.5.a.1,6,222,1,1,4,5
6.246.1.1.2.7.a.1,6,246,1,1,2,7
6.258.1.1.2.7.a.1,6,258,1,1,2,7
6.282.1.1.4.9.a.1,6,282,1,1,4,9
6.318.1.1.4.9.a.1,6,318,1,1,4,9
6.330.1.1.4.13.a.1,6,330,1,1,4,13
6.354.1.1.2.11.a.1,6,354,1,1,2,11
6.366.1.1.4.9.a.1,6,366,1,1,4,9
6.390.1.1.2.13.a.1,6,390,1,1,2,13
10.1.1.4.0.a.1,10,10,1,1,4,0
10.30.1.1.4.1.a.1,10,30,1,1,4,1
10.70.1.1.4.1.a.1,10,70,1,1,4,1
10.110.1.1.2.5.a.1,10,110,1,1,2,5
10.130.1.1.4.3.a.1,10,130,1,1,4,3
10.170.1.1.2.7.a.1,10,170,1,1,2,7
10.190.1.1.4.5.a.1,10,190,1,1,4,5
10.210.1.1.4.9.a.1,10,210,1,1,4,9
10.230.1.1.2.9.a.1,10,230,1,1,2,9
10.290.1.1.2.11.a.1,10,290,1,1,2,11
10.310.1.1.4.9.a.1,10,310,1,1,4,9
10.330.1.1.4.17.a.1,10,330,1,1,4,17
10.370.1.1.4.11.a.1,10,370,1,1,4,11
10.390.1.1.4.17.a.1,10,390,1,1,4,17
14.1.1.2.1.a.1,14,14,1,1,2,1
14.42.1.1.4.3.a.1,14,42,1,1,4,3
14.70.1.1.4.3.a.1,14,70,1,1,4,3
14.154.1.1.2.7.a.1,14,154,1,1,2,7
14.182.1.1.2.7.a.1,14,182,1,1,2,7
14.210.1.1.4.13.a.1,14,210,1,1,4,13
14.238.1.1.2.9.a.1,14,238,1,1,2,9
14.266.1.1.4.11.a.1,14,266,1,1,4,11
14.322.1.1.2.13.a.1,14,322,1,1,2,13
15.1.1.4.1.a.1,15,15,1,1,4,1
15.30.1.1.4.3.a.1,15,30,1,1,4,3
15.105.1.1.2.5.a.1,15,105,1,1,2,5
15.165.1.1.4.9.a.1,15,165,1,1,4,9
15.195.1.1.4.9.a.1,15,195,1,1,4,9
15.210.1.1.4.17.a.1,15,210,1,1,4,17
15.255.1.1.4.13.a.1,15,255,1,1,4,13
15.285.1.1.2.13.a.1,15,285,1,1,2,13
15.330.1.1.4.25.a.1,15,330,1,1,4,25
15.345.1.1.2.17.a.1,15,345,1,1,2,17
15.390.1.1.2.29.a.1,15,390,1,1,2,29
21.1.1.2.1.a.1,21,21,1,1,2,1
21.42.1.1.4.3.a.1,21,42,1,1,4,3
