# ==========================================================================
# T14  gps_shimura_test  Jacobian columns  --  PROVISIONAL, pending T27 reload
# --------------------------------------------------------------------------
# Scope of THIS file: the 389 COARSE X_0^D(N)-type rows only (autmuO_norms IS
# NULL).  The 2,198 enhanced rows are a deferred follow-up (see the T14 ticket
# Log 2026-07-22 scoping entry).  Populated via the T13/T30-validated
# JLDecomposition arm; every value here reproduces the shipped 338-row ground
# truth exactly (cross-check (a): 338/338).
#
# The `label` key column below is the CURRENTLY-SHIPPED coarse label.  These
# PREDATE the T29 canonical sort and WILL be reassigned on the T27 reload -- do
# NOT load against the current DB.  Re-key each row from T14-jacobian-keys.csv
# (invariant tuple discB,discO,deg_mu,level,index,genus) before loading.
#
# To produce the loadable file after re-keying:  grep -v '^#' <this> > load.txt
# then, with editor credentials, from ~/claude/lmfdb:
#   from lmfdb import db
#   db.gps_shimura_test.update_from_file('load.txt', label_col='label', sep='|')
# ({p,e} pairs in `conductor` are int4[][]; \N is NULL; genus-0 rows carry the
#  trivial empty-array decomposition + NULL trace_hash/traces/log_conductor;
#  18 rows carry NULL trace_hash because a constituent dim>=21 newform has no
#  trace_hash in LMFDB -- see the ticket Log.)
# ==========================================================================
label|newforms|dims|mults|conductor|rank|simple|squarefree|genus_minus_rank|log_conductor|trace_hash|traces
text|text[]|integer[]|integer[]|integer[]|integer|boolean|boolean|integer|numeric|bigint|integer[]

6.30.1.1.4.1.a.1|{30.2.a.a}|{1}|{1}|{{2,1},{3,1},{5,1}}|0|t|t|1|3.40119738166215537541|148452494971348580|{-1,1,-1,-4,0,2,6,-4,0,-6,8,2,-6,-4,0,-6,0,-10,-4,0,2,8,12,18,2,18,-4,-12,-10,-18,20,0,6,-4,-6,8,2,-4,0,18,24,14,-24,-22,-6,8,20,20,-12,-10,-18,24,2,-24,-18,0,-6,-16,2,18,-28,-6,20,0,2,18,-28,26,12,-10,6,-24,-28,26,-4,0,-6,-22,-6,26,0,-10,0,26,8,12,-6,26,-30,-4,-36,-24,-28,24,-4,24,-6,18,20,-10,-28,18,-12,18,20,2,-12,30,-24,-22,-4,2,30,44,32,-30,-4,24,18,48,14,26,-6,-12,44,-6,38,0,-28,-22,-52,-24,-40,2,18,2,42,-4,-30,-54,-4,18,20,12,38,24,-46,-18,-4,24,2,-54,-4,0,44,-48,-16,-6,26,18,36,6,-4,24,-42,-24,-16,26}
6.42.1.1.4.1.a.1|{42.2.a.a}|{1}|{1}|{{2,1},{3,1},{7,1}}|0|t|t|1|3.73766961828336830592|1611795495172191507|{1,-1,-2,-1,-4,6,2,-4,8,-2,0,-10,-6,-4,0,6,4,6,4,8,10,0,-4,-6,-14,-2,8,12,-2,-14,0,-20,10,4,6,-8,-10,20,-8,22,-12,-18,0,2,-10,8,20,-16,12,-2,-22,0,2,-12,-30,-24,22,0,-10,26,4,30,28,-8,10,-18,-4,18,12,22,-30,-8,32,22,-20,-16,-26,6,18,-22,-36,6,0,2,-24,-4,34,10,22,-32,28,-16,8,12,-44,24,6,-6,20,30,-12,-2,44,-6,12,34,-28,18,24,26,48,-42,-22,-44,8,2,-4,24,-18,-28,-2,2,-18,12,-4,-2,-10,0,-8,6,-12,24,48,6,-22,-14,-2,-36,6,10,-44,38,-56,-36,-26,56,14,42,20,-32,-2,18,20,-24,12,0,40,18,-22,-26,4,26,8,-12,18,-24,-16,14}
6.66.1.1.2.3.a.1|{66.2.a.a,66.2.a.b,66.2.a.c}|{1,1,1}|{1,1,1}|{{2,3},{3,3},{11,3}}|0|f|t|3|12.5689642260792766346|743582638138668535|{1,1,-2,-4,-1,-6,-6,0,4,22,0,-6,2,16,-20,6,12,-14,-12,-4,-10,20,-4,14,-2,22,0,-20,10,14,4,4,-18,-8,-26,-4,10,-20,0,-10,44,-22,28,38,22,0,16,-32,-12,2,-14,-24,-18,-12,-10,-40,-18,44,18,-6,16,30,32,-12,46,-2,-12,-2,20,-30,6,-32,0,10,-28,-4,-50,66,-26,-58,12,-38,32,22,4,28,14,22,38,-24,28,16,32,-4,-28,48,-18,-18,48,-6,-88,86,-68,18,-16,-82,-4,-46,36,30,20,-38,-74,20,-72,30,12,-44,6,-20,2,54,54,-28,60,6,18,52,0,-22,72,48,32,-38,82,-74,22,-40,-26,-22,-8,-58,-8,-76,90,60,26,58,4,116,18,-82,20,-48,36,-28,-12,102,-2,-18,52,-54,-52,44,118,20,80,-22}
6.78.1.1.4.1.a.1|{78.2.a.a}|{1}|{1}|{{2,1},{3,1},{13,1}}|0|t|t|1|4.35670882668959173687|124393021660496081|{-1,-1,2,4,-4,1,2,-8,0,6,-4,-2,-10,4,8,-10,4,-2,-16,-8,2,8,12,14,10,-2,16,12,-2,-6,0,4,-10,12,-6,12,14,-16,0,-10,-12,-10,-8,-14,18,-8,12,-4,20,22,18,0,10,4,-6,8,-26,-4,22,-26,-4,26,-8,0,-6,-6,8,18,-12,6,14,0,16,6,0,-24,-26,6,6,2,4,22,-8,-30,16,-4,6,-30,-6,-20,-4,-16,4,36,0,40,42,-14,-20,-34,-28,18,4,-30,-20,18,4,-42,-24,26,-16,-2,6,32,-36,2,-16,24,-10,-36,-2,-14,38,44,-32,-50,6,-24,-40,-2,40,-24,-40,54,-26,2,-54,40,-2,2,0,42,-16,28,-2,-40,-2,18,-44,40,22,26,4,0,28,40,-16,46,26,-46,-4,-30,4,-28,6,24,-48,-26}
6.102.1.1.4.3.a.1|{102.2.a.a,102.2.a.b,102.2.a.c}|{1,1,1}|{1,1,1}|{{2,3},{3,3},{17,3}}|1|f|t|2|13.8749184398528132432|1926051815342068338|{-1,1,-6,0,-4,-6,-1,4,0,-14,-8,2,6,4,16,10,12,-6,-28,0,14,-8,4,-26,6,10,-8,-4,26,-2,16,-28,-2,12,-22,8,-6,36,32,2,-36,2,-32,38,10,16,-12,-16,20,-14,-10,-32,-26,52,38,-8,18,-16,18,6,28,-6,-4,48,-2,2,20,-42,12,10,-34,-24,24,-30,-36,0,-70,-22,-2,38,-44,34,-24,-18,32,-28,-18,22,50,48,-36,40,-64,-44,68,-32,50,-26,-4,-38,-12,-62,20,-18,92,-26,4,-26,-24,-66,-72,34,6,-68,-8,30,-28,24,2,84,-30,-106,42,-20,20,-14,50,88,-8,90,36,64,-24,-30,-50,-26,74,36,66,-42,-36,-70,16,44,-38,-48,-46,-10,-44,-32,-6,-2,4,-48,12,40,24,-50,-10,50,-28,70,-56,28,-74,16,-72,-14}
6.114.1.1.2.3.a.1|{114.2.a.a,114.2.a.b,114.2.a.c}|{1,1,1}|{1,1,1}|{{2,3},{3,3},{19,3}}|0|f|t|3|14.2085953451834863825|931075965356227116|{1,-1,2,0,0,-2,-2,1,-12,-2,12,-2,26,-12,12,-2,4,18,-4,-8,6,-4,-16,-14,-10,10,-28,4,-26,-30,12,24,-26,28,26,20,42,36,0,30,4,-18,20,-2,-30,0,-12,-44,60,-22,-18,-12,22,-40,2,-36,14,8,-38,2,36,-10,-28,68,-26,30,28,14,32,-14,-18,12,-40,30,-20,48,50,-14,-14,-18,-24,-10,-40,-2,44,16,-14,30,2,24,-48,4,44,80,-28,76,-10,-30,20,18,20,50,-60,10,-12,-10,40,38,-16,30,-60,2,6,-20,-24,58,28,-28,18,-36,-50,30,-2,28,-84,-78,-62,44,8,18,20,-16,44,-46,-10,30,30,4,-10,-18,12,-54,56,-52,22,32,98,18,28,-40,86,30,36,-32,20,24,-40,-58,6,86,-8,2,32,-28,-46,-72,-20,2}
6.138.1.1.4.5.a.1|{138.2.a.a,138.2.a.b,138.2.a.c,138.2.a.d}|{1,1,1,2}|{1,1,1,1}|{{2,5},{3,5},{23,5}}|1|f|t|4|24.6362684257860234581|1384885635717676839|{1,1,-2,0,-12,-2,-6,-8,-1,-2,0,10,10,-16,8,22,-4,2,16,0,-14,-8,20,18,-14,-42,24,28,2,-22,16,-60,34,-4,-26,-8,26,-4,0,-18,20,2,16,26,22,16,-4,32,-20,18,-14,-32,-30,-36,18,56,-34,16,6,-30,8,-10,-36,-40,-6,78,20,-54,44,6,42,56,-56,-46,24,64,30,86,-22,-78,-28,-30,-32,-14,40,28,-14,74,14,16,-52,-16,-8,-20,-52,-56,-50,50,0,70,12,-18,-28,66,16,-38,-4,18,-24,114,-64,34,-30,0,24,-6,40,40,-34,76,82,10,-42,28,108,6,34,-48,32,-46,-92,-40,-80,-102,50,18,-98,-16,30,34,52,38,-120,12,54,-136,-82,-78,-36,64,30,10,60,-80,-8,128,-32,-46,-126,190,68,-46,-40,-92,90,104,-64,78}
6.174.1.1.4.5.a.1|{174.2.a.a,174.2.a.b,174.2.a.c,174.2.a.d,174.2.a.e}|{1,1,1,1,1}|{1,1,1,1,1}|{{2,5},{3,5},{29,5}}|0|f|t|5|25.7952764960726451400|1560421919920025628|{-1,1,2,4,12,-2,-2,4,-8,-1,-12,-14,-10,-12,-8,-6,0,10,4,16,-6,20,16,14,18,10,-28,40,6,-34,-12,-4,-18,28,34,-4,-38,-36,48,-54,-48,-2,56,-30,26,-8,12,-8,16,-14,2,48,6,4,42,-24,18,60,38,42,-28,10,-20,-24,-26,-30,92,10,-32,46,-62,56,20,6,-20,-64,-54,-34,26,-30,32,10,8,66,-84,28,62,38,50,32,-4,88,4,4,76,24,-46,-62,36,18,-36,42,20,14,-52,2,16,-118,-8,74,12,46,102,-76,44,-122,4,-8,82,-52,-42,-18,-118,-64,-76,-30,22,-32,44,122,60,48,-108,-30,-38,-22,74,68,-14,54,36,90,36,-44,50,-72,-70,-70,-12,40,6,54,60,144,-20,-88,-4,66,-58,-38,36,58,-28,-4,82,-40,36,-86}
