old_label,D,M,discB,discO,deg_mu,level,al_set,al_gens,n_al,is_trivial_quotient,is_full_star,hall_divisors_DM,al_all_hall,has_identity_1,in_models,model_dup_count,in_points,pt_genus,pt_count,pt_M,coords
6.5-[1],6,5,6,30,1,1,1,,1,True,False,"1,2,3,5,6,10,15,30",True,True,True,1,False,,,,
6.7-[1],6,7,6,42,1,1,1,,1,True,False,"1,2,3,6,7,14,21,42",True,True,True,1,False,,,,
6.11-[1],6,11,6,66,1,1,1,,1,True,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,3,0,11,{}
"6.11-[1,2]",6,11,6,66,1,1,"1,2",2,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,2,0,11,{}
"6.11-[1,3]",6,11,6,66,1,1,"1,3",3,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,2,0,11,{}
"6.11-[1,6]",6,11,6,66,1,1,"1,6",6,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,1,0,11,{}
"6.11-[1,11]",6,11,6,66,1,1,"1,11",11,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,2,0,11,{}
"6.11-[1,22]",6,11,6,66,1,1,"1,22",22,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,1,0,11,{}
"6.11-[1,33]",6,11,6,66,1,1,"1,33",33,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,1,0,11,{}
"6.11-[1,66]",6,11,6,66,1,1,"1,66",66,2,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,0,infinite,11,[]
"6.11-[1,2,3,6]",6,11,6,66,1,1,"1,2,3,6","2,3,6",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,1,2,11,"{[ 0, 1, 0 ],[ 463/4, -463/8, 1 ]}"
"6.11-[1,2,11,22]",6,11,6,66,1,1,"1,2,11,22","2,11,22",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,1,2,11,"{[ 39/4, -43/8, 1 ],[ 0, 1, 0 ]}"
"6.11-[1,2,33,66]",6,11,6,66,1,1,"1,2,33,66","2,33,66",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,0,infinite,11,[]
"6.11-[1,3,11,33]",6,11,6,66,1,1,"1,3,11,33","3,11,33",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,1,2,11,"{[ 19/4, -23/8, 1 ],[ 0, 1, 0 ]}"
"6.11-[1,3,22,66]",6,11,6,66,1,1,"1,3,22,66","3,22,66",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,0,infinite,11,[]
"6.11-[1,6,11,66]",6,11,6,66,1,1,"1,6,11,66","6,11,66",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,0,infinite,11,[]
"6.11-[1,6,22,33]",6,11,6,66,1,1,"1,6,22,33","6,22,33",4,False,False,"1,2,3,6,11,22,33,66",True,True,True,1,True,0,0,11,[]
